marketplace_id,source,product_name,brand,category,price,rating,review_count,availability,description,product_url,image_url,scraped_date,processor_extracted,product_id,model_name,processor_name,ram_gb,ssd_gb,hdd_gb,operating_system,graphics,screen_size,resolution,no_of_cores,no_of_threads,spec_score,original_price,processor_family_market,processor_family_manufacturer
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,911.0,Asus ROG Flow Z13 2022 GZ301ZA-LD049WS Gaming Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris X Graphics,13.4,1920 x 1200,12.0,16.0,74.0,115390.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,938.0,Asus Vivobook 15 Touch X515EA-EZ501WS Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,62.0,51990.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,939.0,Asus TUF Gaming F17 FX777ZC-HX069W Gaming Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,17.3,1920 x 1080,12.0,16.0,68.0,94990.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,967.0,Asus X515EA-BQ522WS Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,61.0,53500.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,985.0,Asus Vivobook 14 OLED UX3402ZA-KM531WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe,14.0,2880 x 1800,12.0,16.0,61.0,85990.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,987.0,Asus Zenbook Space Edition UX5401ZAS-KN521WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,2880 x 1800,12.0,16.0,67.0,104390.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,996.0,Asus VivoBook 15 X515JA-BQ521WS Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated UHD,15.6,1920 x 1080,4.0,8.0,55.0,42990.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,999.0,Asus K413EA-EB522WS Laptop,11TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,4.0,8.0,63.0,56990.0,CORE I5,CORE I5
20,WebScraper.io,Asus VivoBook...,ASUS,Laptop,729.0,1.0,2,Available,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/50,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 8250U,1004.0,Asus VivoBook 14 X415JA-EB501WS Laptop,10TH GEN CORE I5,8.0,0.0,1000.0,Windows,Intel UHD Graphics,14.0,1920 x 1080,4.0,8.0,54.0,41990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,42.0,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris XE Graphics,15.6,1920 x 1080,12.0,16.0,65.0,73000.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,92.0,Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,63.0,54990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,103.0,Asus VivoBook 15 K513EP-BQ1093T Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,2 GB NVIDIA GeForce MX330,15.6,1920 x 1080,4.0,8.0,54.0,45990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,115.0,Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,12.0,16.0,74.0,66990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,117.0,Asus VivoBook 14 X415JA-EK522WS Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel UHD,14.0,1920 x 1080,4.0,8.0,60.0,41990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,127.0,Asus VivoBook 15 X515EA-EJ522WS Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,61.0,46990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,134.0,Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1080 x 1920,8.0,12.0,67.0,77990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,140.0,Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8.0,12.0,72.0,75990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,147.0,Asus Vivobook 15 2022 X1502ZA-BQ502WS Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,12.0,16.0,63.0,56825.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,191.0,Asus VivoBook 14 X415EA-EK522WS Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated Intel UHD,14.0,1920 x 1080,4.0,8.0,65.0,49490.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,195.0,Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Iris Xe,15.6,1920 x 1080,10.0,12.0,62.0,56990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,196.0,Asus VivoBook 15 X1500EA-EJ522WS Laptop,11TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,4.0,8.0,56.0,46890.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,201.0,Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10.0,12.0,61.0,67499.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,251.0,Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,2880 x 1800,12.0,16.0,65.0,85990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,293.0,Asus Vivobook S15 OLED S3502ZA-L502WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris XE Graphics,15.6,1920 x 1080,12.0,16.0,65.0,72000.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,301.0,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,12.0,16.0,63.0,70990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,431.0,Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe,14.0,2880 x 1800,12.0,16.0,69.0,95980.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,469.0,Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4.0,8.0,63.0,54990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,487.0,Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Iris Xe,15.6,1920 x 1080,10.0,12.0,62.0,56990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,495.0,Asus VivoBook 15 2022 X515JA-EJ592WS Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated UHD,15.6,1920 x 1080,4.0,8.0,59.0,44990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,516.0,Asus Vivobook 14 OLED X1405ZA-KM511WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe,14.0,2880 x 1800,10.0,12.0,61.0,69990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,613.0,Asus VivoBook 14 2022 X1402ZA-EK521WS Laptop,12TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated UHD,14.0,1920 x 1080,10.0,12.0,63.0,53990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,614.0,Asus VivoBook 14 2022 X1402ZA-MW512WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,12.0,16.0,67.0,66990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,689.0,Asus VivoBook K15 OLED K513EA-L503WS Laptop,11TH GEN CORE I5,16.0,256.0,1000.0,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4.0,8.0,66.0,67000.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,690.0,Asus VivoBook Pro 15 OLED K6500ZC-L502WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8.0,12.0,73.0,89990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,701.0,Asus VivoBook Ultra K14 K413EA-EB523WS Laptop,11TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,4.0,8.0,61.0,60990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,703.0,Asus VivoBook Pro 15 OLED K6500ZE-L501WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050Ti,15.6,1920 x 1080,8.0,12.0,69.0,92772.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,718.0,Asus Vivobook 15 2022 X1502ZA-EZ511WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Iris Xe,15.6,1920 x 1080,12.0,16.0,66.0,64980.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,733.0,Asus VivoBook 15 X515JA-EJ552WS Laptop,10TH GEN CORE I5,8.0,512.0,0.0,Windows,Intel Integrated UHD,15.6,1920 x 1080,4.0,8.0,59.0,50000.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,739.0,Asus ZenBook Pro Duo 14 OLED 2022 UX8402ZA-M501WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe,14.5,2880 x 1800,12.0,16.0,67.0,118299.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,765.0,Asus TUF Gaming F15 FX506HC-HN119W Gaming Laptop,11TH GEN CORE I5,8.0,1000.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6.0,12.0,66.0,85990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,795.0,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop,11TH GEN CORE I5,16.0,512.0,0.0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6.0,12.0,73.0,76990.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,800.0,Asus TUF Gaming F15 FX506LHB-HN357W Gaming Laptop,10TH GEN CORE I5,8.0,1000.0,0.0,Windows,4 GB NVIDIA GeForce GTX GTX-1650,15.6,1920 x 1080,4.0,8.0,61.0,67461.0,CORE I5,CORE I5
21,WebScraper.io,Asus ROG STRIX...,ASUS,Laptop,799.0,2.0,7,Available,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/51,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,2026-07-16 15:30:12,CORE I5 7300HQ,823.0,Asus Vivobook Flip 14 TP3402ZA-LZ511WS Laptop,12TH GEN CORE I5,16.0,512.0,0.0,Windows,Intel Integrated Iris Xe Graphics,14.0,1920 x 1200,12.0,16.0,71.0,76990.0,CORE I5,CORE I5
